,SKU,order_number,order_date,date_received,provider,brand,product_name,units_ordered,orders_received
37,TapTW3125,01-031,2022-01-09 00:00:00,2022-01-10,Yanyunis,Taste Of The Wild,"High Prairie (Bisonte Asado y Venado Asado) - 2.3, kg",2,2
38,TapTW2126,01-031,2022-01-09 00:00:00,2022-01-10,Yanyunis,Taste Of The Wild,"High Prairie (Bisonte Asado y Venado Asado) - 6.4, kg",1,1
39,-,01-031,2022-01-09 00:00:00,2022-01-10,Yanyunis,Diamond,Maintence Cat 40lbs,1,0
40,ZepZDA1778,08-005,2022-09-05 00:00:00,2022-03-12,DogHood,ZeeDog,Brain Freeze - Unica,3,3
41,DipDN1160,01-001,2022-03-14 00:00:00,2022-03-15,Yanyunis,Diamond,"Skin And Coat Grain Free Salmon And Potato All Life Stages - 13.6, kg",4,0
42,DipDN1161,01-001,2022-03-14 00:00:00,2022-03-15,Yanyunis,Diamond,"Beef & Rice Adult - 18.1, kg",2,0
43,TagTW2207,01-001,2022-03-14 00:00:00,2022-03-15,Yanyunis,Taste Of The Wild,"Canyon River Feline (Trucha y Salmón Ahumado) - 6.4, kg",2,0
44,TapPR3153,01-001,2022-03-14 00:00:00,2022-03-15,Yanyunis,Taste Of The Wild,"Prey Angus Beef (Carne de Res Angus) - 4, kg",1,0
45,TapTW2119,01-001,2022-03-14 00:00:00,2022-03-15,Yanyunis,Taste Of The Wild,"Pacific Stream (Salmón Ahumado) - 6.4, kg",1,1
46,TapTW2123,01-001,2022-03-14 00:00:00,2022-03-15,Yanyunis,Taste Of The Wild,"Pacific Stream Puppy (Salmón Ahumado) - 6.4, kg",1,1
47,TapTW2126,01-001,2022-03-14 00:00:00,2022-03-15,Yanyunis,Taste Of The Wild,"High Prairie (Bisonte Asado y Venado Asado) - 6.4, kg",1,0
48,TapTW2142,01-001,2022-03-14 00:00:00,2022-03-15,Yanyunis,Taste Of The Wild,"Pine Forest (Venado y Legumbres) - 6.4, kg",1,1
49,TapTW1117,01-001,2022-03-14 00:00:00,2022-03-15,Yanyunis,Taste Of The Wild,"Wetlands (Pato) - 12.7, kg",1,1
50,TapTW2133,01-001,2022-03-14 00:00:00,2022-03-15,Yanyunis,Taste Of The Wild,"Sierra Mountain (Cordero Rostizado) - 6.4, kg",1,0
51,TapPR3155,01-001,2022-03-14 00:00:00,2022-03-15,Yanyunis,Taste Of The Wild,"Prey Trout (Trucha) - 4, kg",1,1
52,DipDN2163,01-001,2022-03-14 00:00:00,2022-03-15,Yanyunis,Diamond,"Lamb And Rice - 9.1, kg",1,1
53,DipDi3184,01-001,2022-03-14 00:00:00,2022-03-15,Yanyunis,Diamond,"Puppy - 3.6, kg",1,1
54,DipDi2185,01-001,2022-03-14 00:00:00,2022-03-15,Yanyunis,Diamond,"Puppy - 9.1, kg",1,1
55,DipDN2165,01-001,2022-03-14 00:00:00,2022-03-15,Yanyunis,Diamond,"Light Lamb & Rice - 6.8, kg",1,0
56,DigDN3199,01-001,2022-03-14 00:00:00,2022-03-15,Yanyunis,Diamond,"Active Cat (Arroz y Harina de Pollo) - 2.27, kg",1,1
57,DigDN2200,01-001,2022-03-14 00:00:00,2022-03-15,Yanyunis,Diamond,"Active Cat (Arroz y Harina de Pollo) - 8.16, kg",1,1
58,DipDN1166,01-001,2022-03-14 00:00:00,2022-03-15,Yanyunis,Diamond,"Light Lamb & Rice - 13.6, kg",1,0
59,BapBA1354,02-001,2022-03-14 00:00:00,2022-03-16,Belina,#ERROR!,"Adulto Cordero y Arroz - 14.97, kg",3,3
60,BapBA1368,02-001,2022-03-14 00:00:00,2022-03-16,Belina,#ERROR!,"Senior - 14.97, kg",2,2
61,BapBA1352,02-001,2022-03-14 00:00:00,2022-03-16,Belina,#ERROR!,"Adulto - 14.97, kg",1,0
62,BagBA2371,02-001,2022-03-14 00:00:00,2022-03-16,Belina,#ERROR!,"Adulto Gato Pescado - 10, kg",4,4
63,NupNS3293,02-001,2022-03-14 00:00:00,2022-03-16,Belina,NutriSource,"Senior (Pollo y Arroz) - 2.27, kg",3,0
64,NupNS1295,02-001,2022-03-14 00:00:00,2022-03-16,Belina,NutriSource,"Lamb Meal & Rice (Cordero y Arroz) - 13.6, kg",3,0
65,NugNS3309,02-001,2022-03-14 00:00:00,2022-03-16,Belina,NutriSource,"Cat and Kitten Chicken, Salmon &amp; Liver - 3, kg",2,0
66,NugNS2305,02-001,2022-03-14 00:00:00,2022-03-16,Belina,NutriSource,"Cat &amp; Kitten Chicken &amp; Rice - 7.25, kg",2,0
67,NugNS2308,02-001,2022-03-14 00:00:00,2022-03-16,Belina,NutriSource,"Cat and Kitten Chicken, Salmon &amp; Liver - 7.25, kg",2,0
68,NupNS3312,02-001,2022-03-14 00:00:00,2022-03-16,Belina,NutriSource,"Grain Free Chicken &amp; Peas (Libre de granos Pollo y Guisantes) - 2.27, kg",1,0
69,NupNS1270,02-001,2022-03-14 00:00:00,2022-03-16,Belina,NutriSource,"Super Performance Chicken and Rice (Pollo y Arroz) - 18.18, kg",3,3
70,NupNS5335,02-001,2022-03-14 00:00:00,2022-03-16,Belina,NutriSource,"Bites Grain Free Pollo - 179, g",2,2
71,NupNS5276,02-001,2022-03-14 00:00:00,2022-03-16,Belina,NutriSource,"Treats Skin and Coat - 179, g",2,2
72,NupNS1291,02-001,2022-03-14 00:00:00,2022-03-16,Belina,NutriSource,"Senior (Pollo y Arroz) - 13.6, kg",2,2
73,NupNS2300,02-001,2022-03-14 00:00:00,2022-03-16,Belina,NutriSource,"Trout &amp; Rice (Trucha y Arroz) - 6.8, kg",2,2
74,1spFC2800,03-001,2022-03-16 00:00:00,2022-03-16,Herrera y Elizondo,1st CHOICE,"Adulto Todo Raza Control de Peso - 4.54, kg",1,1
75,1spFC3820,03-001,2022-03-16 00:00:00,2022-03-16,Herrera y Elizondo,1st CHOICE,"Cachorro Toda Raza Pelo y Piel Sensible (Cordero) - 2.72, kg",1,1
76,1sgFC2785,03-001,2022-03-16 00:00:00,2022-03-16,Herrera y Elizondo,1st CHOICE,"Gatito Inicio Saludable - 10, kg",1,1
77,1sgFC2778,03-001,2022-03-16 00:00:00,2022-03-16,Herrera y Elizondo,1st CHOICE,"Gato Hipoalergénico Libre de Granos - 5.44, kg",1,1
78,1sgFC2781,03-001,2022-03-16 00:00:00,2022-03-16,Herrera y Elizondo,1st CHOICE,"Gato Indoor Vitality (Pollo) - 10, kg",1,1
79,1sgFC3776,03-001,2022-03-16 00:00:00,2022-03-16,Herrera y Elizondo,1st CHOICE,"Gato Pelo y Piel Saludable (Salmon) - 2.72, kg",1,1
80,1sgFC2789,03-001,2022-03-16 00:00:00,2022-03-16,Herrera y Elizondo,1st CHOICE,"Gato Urinario - 5.44, kg",1,1
81,1spFC1796,03-001,2022-03-16 00:00:00,2022-03-18,Herrera y Elizondo,1st CHOICE,"Adulto Toda Raza Hipoalergenico (Papa y Pato) - 12, kg",1,1
82,1spFC3805,03-001,2022-03-16 00:00:00,2022-03-18,Herrera y Elizondo,1st CHOICE,"Adulto Todas Razas Piel y Pelo Sensible (Cordero) - 2.72, kg",1,1
83,1sgFC2792,03-001,2022-03-16 00:00:00,2022-03-18,Herrera y Elizondo,1st CHOICE,"Gato Control de Peso - 5.44, kg",1,1
84,NepNX1993,03-001,2022-03-16 00:00:00,2022-03-18,Herrera y Elizondo,NexGard,"10.1 a 25 kg (Verde) - 68, g",7,7
85,NepNX1995,03-001,2022-03-16 00:00:00,2022-03-18,Herrera y Elizondo,NexGard,"25.1 a 50kg (Roja) - 68, g",3,3
86,DipDN1160,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Diamond,"Skin And Coat Grain Free Salmon And Potato All Life Stages - 13.6, kg",5,5
87,DipDN1161,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Diamond,"Beef & Rice Adult - 18.1, kg",2,2
88,TagTW2207,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Taste Of The Wild,"Canyon River Feline (Trucha y SalmÃ³n Ahumado) - 6.4, kg",2,2
89,TagPR3158,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Taste Of The Wild,"Prey Angus (Carne de Res Angus) - 3, kg",2,2
90,TapTW1145,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Taste Of The Wild,"Tow Ancient Prairie (Bisonte Asado y Venado Asado) - 12.7, kg",1,1
91,DipDN2159,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Diamond,"Skin And Coat Grain Free Salmon And Potato All Life Stages - 6.8, kg",2,2
92,TagTW2205,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Taste Of The Wild,"Lowland Feline (Codorniz Asada y Pato Asado) - 6.4, kg",2,2
93,TapTW2130,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Taste Of The Wild,"High Prairie Puppy (Bisonte Asado y Venado Asado) - 6.4, kg",1,0
94,TapTW3135,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Taste Of The Wild,"South West Canyon (Jabali) - 2.3, kg",1,1
95,TapPR3151,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Taste Of The Wild,"Prey Turkey (Pavo) - 4, kg",1,1
96,TapTW3129,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Taste Of The Wild,"High Prairie Puppy (Bisonte Asado y Venado Asado) - 2.3, kg",1,1
97,DipDN2168,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Diamond,"Senior Dog 8+ - 8.16, kg",1,1
98,DipDi2185,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Diamond,"Puppy - 9.1, kg",1,1
99,TapPR3153,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Taste Of The Wild,"Prey Angus Beef (Carne de Res Angus) - 4, kg",1,1
100,TapTW3118,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Taste Of The Wild,"Pacific Stream (Salmón Ahumado) - 2.3, kg",1,1
101,TapTW1124,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Taste Of The Wild,"Pacific Stream Puppy (Salmón Ahumado) - 12.7, kg",1,1
102,TapTW2126,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Taste Of The Wild,"High Prairie (Bisonte Asado y Venado Asado) - 6.4, kg",1,1
103,TapTW1127,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Taste Of The Wild,"High Prairie (Bisonte Asado y Venado Asado) - 12.7, kg",1,0
104,TapTW2133,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Taste Of The Wild,"Sierra Mountain (Cordero Rostizado) - 6.4, kg",1,1
105,TapTW1134,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Taste Of The Wild,"Sierra Mountain (Cordero Rostizado) - 12.7, kg",1,1
106,TagTW3204,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Taste Of The Wild,"Lowland Feline (Codorniz Asada y Pato Asado) - 2.3, kg",1,1
107,TagTW3206,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Taste Of The Wild,"Canyon River Feline (Trucha y Salmón Ahumado) - 2.3, kg",1,1
108,DipDN2171,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Diamond,"Small Breed Puppy - 8.2, kg",1,1
109,DipDN2174,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Diamond,"Small Breed Adult Lamb & Rice - 8.16, kg",1,1
110,DipDN1178,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Diamond,"Large Breed Adult Lamb & Rice - 18.1, kg",2,0
111,DipDN2165,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Diamond,"Light Lamb & Rice - 6.8, kg",1,1
112,TapTW1137,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Taste Of The Wild,"South West Canyon (Jabali) - 12.7, kg",1,0
113,TapTW3146,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Taste Of The Wild,"Tow Ancient Stream (Salmón Ahumado) - 2.3, kg",1,0
114,TagTW3208,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Taste Of The Wild,"Rocky Mountain Feline (Venado Asado y Salmón Ahumado) - 2.3, kg",1,1
115,DigDN3197,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Diamond,"Indoor (Pollo y Arroz) - 2.27, kg",1,1
116,DipDN3162,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Diamond,"Lamb And Rice - 2.27, kg",1,2
117,DipDN3167,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Diamond,"Senior Dog 8+ - 2.27, kg",1,1
118,TapTW3148,01-002,2022-03-21 00:00:00,2022-03-29,Yanyunis,Taste Of The Wild,"Tow Ancient Mountain (Cordero Asado) - 2.3, kg",1,0
119,ZepZDA1780,08-001,2022-03-30 00:00:00,2022-04-01,DogHood,ZeeDog,Super Orange - Unica,3,3
120,ZepZDA1786,08-001,2022-03-30 00:00:00,2022-04-01,DogHood,ZeeDog,Mr. X - Unica,3,3
121,ZepZDA1777,08-001,2022-03-30 00:00:00,2022-04-01,DogHood,ZeeDog,Brain Dead - Unica,3,3
122,ZepZDA1747,08-001,2022-03-30 00:00:00,2022-04-01,DogHood,ZeeDog,Ella Collar - L,2,2
123,ZepZDA1791,08-001,2022-03-30 00:00:00,2022-04-01,DogHood,ZeeDog,Cyclops - Unica,2,2
124,ZepZDA1794,08-001,2022-03-30 00:00:00,2022-04-01,DogHood,ZeeDog,Blu - Unica,2,2
125,ZepZDA1746,08-001,2022-03-30 00:00:00,2022-04-01,DogHood,ZeeDog,Ella Collar - M,1,1
126,ZepZDA1754,08-001,2022-03-30 00:00:00,2022-04-01,DogHood,ZeeDog,Ella Correa - L,1,1
127,ZepZDA1750,08-001,2022-03-30 00:00:00,2022-04-01,DogHood,ZeeDog,Ella ArnÃ©s-H - M,1,1
128,ZepZDA1778,08-001,2022-03-30 00:00:00,2022-04-01,DogHood,ZeeDog,Brain Freeze - Unica,2,2
129,ZepZDA1779,08-001,2022-03-30 00:00:00,2022-04-01,DogHood,ZeeDog,Super Banana - Unica,2,2
130,ZepZDA1781,08-001,2022-03-30 00:00:00,2022-04-01,DogHood,ZeeDog,Super Pear - Unica,2,2
131,ZepZDA1730,08-001,2022-03-30 00:00:00,2022-04-01,DogHood,ZeeDog,Pacco Collar - L,1,1
132,ZegZCA1743,08-001,2022-03-30 00:00:00,2022-04-01,DogHood,ZeeCat,Set Correa + Arnes Pacco - Unica,1,1
133,ZegZCA1755,08-001,2022-03-30 00:00:00,2022-04-01,DogHood,ZeeCat,Ella Cat Collar - Unica,1,1
134,MPgMP5440,18-001.1,2022-04-04 00:00:00,2022-04-04,Mundo Pet,M Pets,Arenera Mansura Con Borde Mediano - Unica,2,2
135,MPgMP5441,18-001.1,2022-04-04 00:00:00,2022-04-04,Mundo Pet,M Pets,Arenera Menphis Con Borde Mediano - Unica,2,2
136,MPgMP5442,18-001.1,2022-04-04 00:00:00,2022-04-04,Mundo Pet,M Pets,Arenera Cairo Con Borde Grande - Unica,2,2
137,MPpMP11519,18-001.1,2022-04-04 00:00:00,2022-04-04,Mundo Pet,M Pets,Kit de Cepillos Oster - Unica,2,2
138,MPpMP11516,18-001.1,2022-04-04 00:00:00,2022-04-04,Mundo Pet,M Pets,Cepillo Rake - Unica,1,1
139,MPpMP2232,18-001.1,2022-04-04 00:00:00,2022-04-04,Mundo Pet,M Pets,Cama Shetland OVAL XL 88x58CM - Negro,1,1
140,MPgMP8382Az,18-001.1,2022-04-04 00:00:00,2022-04-04,Mundo Pet,M Pets,Juguete Gato Herby Catnip - Azul,1,1
141,MPgMP8374Az,18-001.1,2022-04-04 00:00:00,2022-04-04,Mundo Pet,M Pets,"Loofa Para Gato 10"" - Azul",1,1
142,MPgMP8377Am,18-001.1,2022-04-04 00:00:00,2022-04-04,Mundo Pet,M Pets,"Loofa Para Gato 10"" - Amarillo",1,1
143,MPpMP91508,18-001.1,2022-04-04 00:00:00,2022-04-04,Mundo Pet,M Pets,"Juego De Platos De Acero Doble - 950, ml",1,1
144,MPpMP91507,18-001.1,2022-04-04 00:00:00,2022-04-04,Mundo Pet,M Pets,"Plato De Acero Inoxidable - 1890, ml",2,2
145,DipDN1160,01-003,2022-04-04 00:00:00,2022-04-05,Yanyunis,Diamond,"Skin And Coat Grain Free Salmon And Potato All Life Stages - 13.6, kg",3,3
146,DipDN1161,01-003,2022-04-04 00:00:00,2022-04-05,Yanyunis,Diamond,"Beef & Rice Adult - 18.1, kg",3,3
147,TagTW2207,01-003,2022-04-04 00:00:00,2022-04-05,Yanyunis,Taste Of The Wild,"Canyon River Feline (Trucha y SalmÃ³n Ahumado) - 6.4, kg",3,3
148,DipDN1177,01-003,2022-04-04 00:00:00,2022-04-05,Yanyunis,Diamond,Large Breed Puppy Lamb &amp,3,3
149,DipDN1164,01-003,2022-04-04 00:00:00,2022-04-05,Yanyunis,Diamond,"Lamb And Rice - 18.1, kg",2,2
150,DipDN1178,01-003,2022-04-04 00:00:00,2022-04-05,Yanyunis,Diamond,Large Breed Adult Lamb &amp,3,3
151,DipDN2163,01-003,2022-04-04 00:00:00,2022-04-05,Yanyunis,Diamond,"Lamb And Rice - 9.1, kg",1,1
152,TapTW1137,01-003,2022-04-04 00:00:00,2022-04-05,Yanyunis,Taste Of The Wild,"South West Canyon (Jabali) - 12.7, kg",1,1
153,TagTW2209,01-003,2022-04-04 00:00:00,2022-04-05,Yanyunis,Taste Of The Wild,"Rocky Mountain Feline (Venado Asado y Salmón Ahumado) - 6.4, kg",1,1
154,DigDN2198,01-003,2022-04-04 00:00:00,2022-04-05,Yanyunis,Diamond,"Indoor (Pollo y Arroz) - 8.16, kg",1,1
155,DipDN1176,01-003,2022-04-04 00:00:00,2022-04-05,Yanyunis,Diamond,"Extreme Athlete - 18.1, kg",1,1
156,DipDi1179,01-003,2022-04-04 00:00:00,2022-04-05,Yanyunis,Diamond,"Pro 89 - 18, kg",1,1
157,DipDi1187,01-003,2022-04-04 00:00:00,2022-04-05,Yanyunis,Diamond,"Hi Energy - 22.7, kg",1,1
158,DipDN1166,01-003,2022-04-04 00:00:00,2022-04-05,Yanyunis,Diamond,"Light Lamb & Rice - 13.6, kg",1,1
159,TapTW3135,01-003,2022-04-04 00:00:00,2022-04-05,Yanyunis,Taste Of The Wild,"South West Canyon (Jabali) - 2.3, kg",2,0
160,TapPR3155,01-003,2022-04-04 00:00:00,2022-04-05,Yanyunis,Taste Of The Wild,"Prey Trout (Trucha) - 4, kg",1,0
161,TapTW3115,01-003,2022-04-04 00:00:00,2022-04-05,Yanyunis,Taste Of The Wild,"Wetlands (Pato) - 2.3, kg",1,0
162,TapTW3125,01-003,2022-04-04 00:00:00,2022-04-05,Yanyunis,Taste Of The Wild,"High Prairie (Bisonte Asado y Venado Asado) - 2.3, kg",1,0
163,TapTW3132,01-003,2022-04-04 00:00:00,2022-04-05,Yanyunis,Taste Of The Wild,"Sierra Mountain (Cordero Rostizado) - 2.3, kg",1,0
164,TapTW3144,01-003,2022-04-04 00:00:00,2022-04-05,Yanyunis,Taste Of The Wild,"Tow Ancient Prairie (Bisonte Asado y Venado Asado) - 2.3, kg",1,0
165,TapTW3146,01-003,2022-04-04 00:00:00,2022-04-05,Yanyunis,Taste Of The Wild,"Tow Ancient Stream (Salmón Ahumado) - 2.3, kg",1,0
166,DipDi1180,01-003,2022-04-04 00:00:00,2022-04-05,Yanyunis,Diamond,"Performance - 18.1, kg",1,0
167,TapTW3141,01-003,2022-04-04 00:00:00,2022-04-05,Yanyunis,Taste Of The Wild,"Pine Forest (Venado y Legumbres) - 2.3, kg",1,0
168,TapTW3148,01-003,2022-04-04 00:00:00,2022-04-05,Yanyunis,Taste Of The Wild,"Tow Ancient Mountain (Cordero Asado) - 2.3, kg",1,0
169,TapTW3150,01-003,2022-04-04 00:00:00,2022-04-05,Yanyunis,Taste Of The Wild,"Tow Ancient Wetlands (Aves Asadas) - 2.3, kg",1,0
170,DipDi1181,01-003,2022-04-04 00:00:00,2022-04-05,Yanyunis,Diamond,"Maintenance - 22.7, kg",1,0
171,DipDi1182,01-003,2022-04-04 00:00:00,2022-04-05,Yanyunis,Diamond,"Premium Adult - 18.1, kg",1,0
172,BapBA1354,02-003,2022-04-01 00:00:00,2022-04-06,Belina,#ERROR!,"Adulto Cordero y Arroz - 14.97, kg",5,5
173,BapBA1368,02-003,2022-04-01 00:00:00,2022-04-06,Belina,#ERROR!,"Senior - 14.97, kg",3,3
174,BapBA1352,02-003,2022-04-01 00:00:00,2022-04-06,Belina,#ERROR!,"Adulto - 14.97, kg",3,3
175,BapBA1355,02-003,2022-04-01 00:00:00,2022-04-06,Belina,#ERROR!,"Puppy - 14.97, kg",2,2
176,BapBA1369,02-003,2022-04-01 00:00:00,2022-04-06,Belina,#ERROR!,"Control de Peso - 14.97, kg",2,2
177,BapBA2347,02-003,2022-04-01 00:00:00,2022-04-06,Belina,#ERROR!,"Adulto Cordero y Arroz - 5, kg",1,1
178,BapBA2358,02-003,2022-04-01 00:00:00,2022-04-06,Belina,#ERROR!,"Adulto Raza PequeÃ±a - 5, kg",1,1
179,BapBA2351,02-003,2022-04-01 00:00:00,2022-04-06,Belina,#ERROR!,"Adulto - 5, kg",2,2
180,BagBA3378,02-003,2022-04-01 00:00:00,2022-04-06,Belina,#ERROR!,"Kitten (Gatitos) - 2, kg",1,1
181,BagBA2370,02-003,2022-04-01 00:00:00,2022-04-06,Belina,#ERROR!,"Kitten (Gatitos) - 10, kg",1,1
182,BagBA3376,02-003,2022-04-01 00:00:00,2022-04-06,Belina,#ERROR!,"Adulto Gato Pescado - 2, kg",1,1
183,BagBA3377,02-003,2022-04-01 00:00:00,2022-04-06,Belina,#ERROR!,"Adulto Gato Pollo - 2, kg",1,1
184,BagBA3384,02-003,2022-04-01 00:00:00,2022-04-06,Belina,#ERROR!,"Gato Control Bola de Pelos - 2, kg",1,1
185,BagBA2382,02-003,2022-04-01 00:00:00,2022-04-06,Belina,#ERROR!,"Gato Control Bola de Pelos - 10, kg",2,2
