Supplier,Pets,Category,Brand,SKU,Inital_Stock,Received,Shipped,Stock,Active,Paused,Reserved_Autoship_quantity,Autoship_stock_status
Yanyunis,dog,Food,Diamond Naturals,DipDN2159,0.0,24,22,2,0,0,0,
Yanyunis,dog,Food,Diamond Naturals,DipDi1186,2.0,11,11,2,1,1,2,Reserve Now
Yanyunis,dog,Food,Taste Of the Wild,TapTW2116,2.0,7,6,3,1,1,2,Available
Yanyunis,dog,Food,Taste Of the Wild,TapTW1145,2.0,30,29,3,2,0,2,Available
Yanyunis,dog,Food,Taste Of the Wild,TapTW1147,1.0,8,7,2,1,0,1,Available
Yanyunis,dog,Food,Diamond Naturals,DipDN3170,1.0,3,2,2,0,0,0,
Yanyunis,dog,Food,PREY,TapPR3153,2.0,4,6,0,0,0,0,
nan,,,nan,PEpPg3229,2.0,0,2,0,0,0,0,
nan,,,nan,PEpPg3216,2.0,0,2,0,0,0,0,
nan,,,nan,PEpPg5218,4.0,0,4,0,0,0,0,
nan,,,nan,PEpPg5217,2.0,2,4,0,0,0,0,
Nestle,dog,Food,Pro Plan,PupPP3430,5.0,20,24,1,0,0,0,
Nestle,cat,Food,Cat Chow,PugCH352,4.0,0,4,0,0,0,0,
Nestle,cat,Food,Cat Chow,PugCH362,2.0,0,0,2,0,0,0,
Nestle,cat,Food,Cat Chow,PugCH351,2.0,5,5,2,0,0,0,
nan,,,nan,PupDL5462,3.0,6,9,0,0,0,0,
Nestle,dog,Food,Dentalife,PupDL5461,1.0,24,21,4,4,0,4,Reserve Now
nan,,,nan,PupAL556,0.0,0,0,0,0,0,0,
Nestle,dog,Food,Alpo,PupAL564,2.0,12,14,0,0,0,0,
Nestle,dog,Food,Alpo,PupAL569,-1.0,8,7,0,0,0,0,
BELINA,dog,Food,NutriSource,NupNS5332,3.0,81,80,4,6,0,6,Reserve Now
BELINA,dog,Food,NutriSource,NupNS5334,11.0,59,63,7,2,3,5,Available
BELINA,dog,Food,NutriSource,NupNS5333,4.0,104,98,10,5,3,8,Available
BELINA,dog,Food,NutriSource,NupNS5335,5.0,40,40,5,1,2,3,Available
BELINA,dog,Food,NutriSource,NupNS5336,2.0,35,35,2,2,2,4,Reserve Now
BELINA,dog,Food,Pure Vita,NupPV5324,4.0,71,67,8,2,0,2,Available
BELINA,dog,Food,NutriSource,NupNS5276,0.0,26,25,1,1,0,1,Reserve Now
Mundo Pet,cat,Food,Waldo,WagWD51882,5.0,47,40,12,0,0,0,
Mundo Pet,dog,Food,Waldo,WapWD51887,2.0,56,48,10,5,1,6,Available
Mundo Pet,dog,Food,Waldo,WapWD51885,6.0,65,64,7,4,1,5,Available
Mundo Pet,dog,Food,Waldo,WapWD51886,3.0,51,45,9,1,1,2,Available
Mundo Pet,dog,Food,Waldo,WapWD51883,4.0,41,38,7,1,0,1,Available
Mundo Pet,dog,Food,Waldo,WapWD51888,1.0,16,13,4,0,0,0,
nan,,,nan,WagWD51881,2.0,0,0,2,0,0,0,
Nestle,cat,Food,Felix,PugFX6105,18.0,78,38,58,0,2,2,Available
Nestle,cat,Food,Felix,PugFX6106,1.0,107,67,41,6,2,8,Available
Nestle,cat,Food,Felix,PugFX6109,-10.0,95,64,21,0,0,0,
Nestle,cat,Food,Felix,PugFX6110,10.0,65,43,32,4,2,6,Available
Nestle,cat,Food,Felix,PugFX6114,18.0,42,29,31,0,2,2,Available
nan,,,nan,PugFX6107,6.0,18,17,7,0,0,0,
nan,,,nan,PugFX6112,11.0,0,9,2,0,0,0,
Nestle,cat,Food,Felix,PugFX6113,-5.0,46,38,3,4,0,4,Reserve Now
Repagro,dog,Higiene,MasQPets,MapQP11015,4.0,0,3,1,0,0,0,
nan,,,nan,MapQP11017,2.0,0,2,0,0,0,0,
Repagro,cat,Higiene,MasQPets,MagQP11013,3.0,0,3,0,0,0,0,
Repagro,dog,Higiene,MasQPets,MapQP11019,2.0,0,1,1,0,0,0,
Repagro,dog,Higiene,MasQPets,MapQP11016,2.0,0,1,1,0,0,0,
Repagro,dog,Higiene,MasQPets,MapQP11020,2.0,0,2,0,0,0,0,
Repagro,dog,Higiene,MasQPets,MapQP11012,2.0,0,1,1,0,0,0,
Repagro,dog,Higiene,MasQPets,MapQP11018,2.0,0,2,0,0,0,0,
Full Pets,dog,Higiene,Tropiclean,TrTC11838,2.0,4,5,1,1,1,2,Reserve Now
Full Pets,dog,Higiene,Tropiclean,TrTC11843,3.0,3,6,0,0,0,0,
Full Pets,dog,Higiene,Tropiclean,TrTC11841,1.0,1,0,2,0,0,0,
Full Pets,dog,Higiene,Tropiclean,TrTC11832,0.0,11,11,0,0,0,0,
Full Pets,dog,Higiene,Tropiclean,TrTC11831,2.0,11,11,2,0,0,0,
OKAP,dog,Accessories,OKAP,OKpOK3940,4.0,1,5,0,0,0,0,
OKAP,dog,Accessories,OKAP,OKpOK2941,4.0,3,7,0,0,0,0,
OKAP,dog,Accessories,OKAP,OKpOK1942,8.0,0,7,1,0,0,0,
OKAP,dog,Accessories,OKAP,OKpOK1936,4.0,0,3,1,0,0,0,
OKAP,dog,Accessories,OKAP,OKpOK3934,2.0,2,1,3,0,0,0,
OKAP,dog,Accessories,OKAP,OKpOK1954,6.0,2,7,1,0,0,0,
OKAP,dog,Accessories,OKAP,OKpOK2953,6.0,2,7,1,0,0,0,
OKAP,dog,Accessories,OKAP,OKpOK3952,8.0,1,9,0,0,0,0,
OKAP,dog,Accessories,OKAP,OKpOK3946,8.0,1,8,1,0,0,0,
OKAP,dog,Accessories,OKAP,OKpOK2947,3.0,2,5,0,0,0,0,
OKAP,dog,Accessories,OKAP,OKpOK1948,3.0,0,2,1,0,0,0,
nan,,,nan,DopDG81241,1.0,0,1,0,0,0,0,
nan,,,nan,DopDG81240,3.0,0,2,1,0,0,0,
nan,,,nan,DopDG81236,1.0,0,1,0,0,0,0,
nan,,,nan,SppSU81191,1.0,0,1,0,0,0,0,
nan,,,nan,DopDG81238,2.0,0,1,1,0,0,0,
nan,,,nan,DopDG81237,3.0,0,0,3,0,0,0,
nan,,,nan,ChpCI81247VE,1.0,0,1,0,0,0,0,
nan,,,nan,ChpCI81248,1.0,0,0,1,0,0,0,
nan,,,nan,ChpCI81248AN,1.0,0,0,1,0,0,0,
nan,,,nan,ChpCI81248AZ,1.0,0,0,1,0,0,0,
nan,,,nan,ChpCI81246,6.0,0,0,6,0,0,0,
nan,,,nan,ChpCI81243,2.0,0,0,2,0,0,0,
nan,,,nan,ChpCI81242,2.0,0,0,2,0,0,0,
nan,,,nan,ChpCI81245,2.0,0,2,0,0,0,0,
nan,,,nan,ZipZP1464,0.0,0,0,0,0,0,0,
Woof & Miau,dog,Accessories,Storybook Fiesta collection,ZipZP3561,2.0,0,1,1,0,0,0,
nan,,,nan,ZipZP3568,4.0,0,3,1,0,0,0,
nan,,,nan,ZipZP1467,0.0,0,0,0,0,0,0,
Woof & Miau,dog,Accessories,Nomnomz,ZipZP3595,4.0,0,4,0,0,0,0,
nan,,,nan,ZipZP3540,2.0,0,2,0,0,0,0,
Woof & Miau,dog,Accessories,Animal Burrows,ZipZP3510,2.0,0,0,2,0,0,0,
Repagro,cat,Food,MasQPets,MagQP3740,7.0,6,10,3,0,1,1,Available
Repagro,dog,Food,MasQPets,MapQP1745,2.0,100,94,8,4,0,4,Available
Repagro,dog,Food,MasQPets,MapQP2754,8.0,51,52,7,1,1,2,Available
Repagro,dog,Food,MasQPets,MapQP3733,8.0,35,38,5,2,0,2,Available
Repagro,dog,Food,MasQPets,MapQP3755,7.0,43,46,4,3,0,3,Available
Mundo Pet,dog,Accessories,MPets,MPpMP8133Azu,1.0,4,5,0,0,0,0,
Mundo Pet,dog,Accessories,MPets,MPpMP8133Nar,1.0,6,7,0,0,0,0,
BELINA,dog,Food,Balance,BapBA3362,1.0,4,4,1,0,0,0,
Repagro,dog,Food,MasQPets,MapQP3748,0.0,49,47,2,2,1,3,Reserve Now
Repagro,dog,Food,MasQPets,MapQP1747,0.0,16,13,3,0,0,0,
Repagro,dog,Food,MasQPets,MapQP3741,4.0,12,15,1,0,0,0,
Repagro,dog,Food,MasQPets,MapQP3742,0.0,12,7,5,1,0,1,Available
nan,,,nan,PugFX6111,1.0,23,24,0,0,0,0,
Herrera & Elizondo,dog,Pharmacy,Nexdgard,NepNX1991,12.0,126,102,36,7,0,7,Available
Herrera & Elizondo,dog,Pharmacy,Nexdgard,NepNX1995,-4.0,98,79,15,3,2,5,Available
Herrera & Elizondo,dog,Pharmacy,ArtriTabs,ArpAT11032,3.0,80,74,9,6,1,7,Available
Herrera & Elizondo,dog,Pharmacy,Nexdgard,NepNX1993,6.0,159,118,47,6,0,6,Available
Mundo Pet,dog,Accessories,MPets,MPpMP91506,1.0,2,0,3,0,0,0,
Mundo Pet,dog,Accessories,MPets,MPpMP91507,2.0,0,2,0,0,0,0,
nan,,,nan,MPpMP91509,2.0,0,2,0,0,0,0,
Mundo Pet,dog,Accessories,MPets,MPpMP91508,2.0,0,1,1,0,0,0,
Mundo Pet,dog,Accessories,MPets,MPpMP81330,1.0,4,5,0,0,0,0,
Mundo Pet,dog,Accessories,MPets,MPpMP81331,1.0,2,3,0,0,0,0,
nan,,,nan,MPpMP81334Na,2.0,2,4,0,0,0,0,
nan,,,nan,MPpMP81333Az,2.0,2,3,1,0,0,0,
nan,,,nan,MPpMP11532,2.0,0,2,0,0,0,0,
Mundo Pet,dog,Food,Natural Wild,NapNW51536,3.0,5,8,0,0,0,0,
Mundo Pet,cat,Accessories,MPets,MPgMP8383Ros,1.0,0,1,0,0,0,0,
nan,,,nan,EApEAA1721,1.0,0,1,0,0,0,0,
nan,,,nan,EApEAA1722,1.0,0,1,0,0,0,0,
nan,,,nan,MPgMP81893,2.0,0,2,0,0,0,0,
nan,,,nan,MPgMP81029,2.0,0,1,1,0,0,0,
nan,,,nan,MPgMP81891,2.0,1,3,0,0,0,0,
nan,,,nan,MPpMP91502,2.0,2,4,0,0,0,0,
Mundo Pet,dog,Accessories,MPets,MPpMP91504,2.0,2,3,1,0,0,0,
Mundo Pet,dog,Accessories,MPets,MPpMP91505,2.0,4,5,1,0,0,0,
nan,,,nan,PapPW91367,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91368,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91369,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91370,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91371,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91372,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91373,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91374,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91376,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW1739,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91377,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW1741,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91379,1.0,0,1,0,0,0,0,
nan,,,nan,PapPW91380,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91381,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91382,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91383,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91384,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91385,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91386,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91387,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91388,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91389,2.0,0,0,2,0,0,0,
nan,,,nan,PapPW91390,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91391,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91392,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91393,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91394,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91395,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91396,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91397,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91398,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91399,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91400,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91401,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91402,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91403,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91408,2.0,0,0,2,0,0,0,
nan,,,nan,PapPW91405,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91406,2.0,0,0,2,0,0,0,
nan,,,nan,PapPW91407,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91409,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91410,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91411,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91412,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91413,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91414,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91415,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91416,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91417,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91418,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91419,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91783,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91421,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91422,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91423,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91424,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91425,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91426,1.0,0,1,0,0,0,0,
nan,,,nan,PapPW91427,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91428,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91429,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91430,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91431,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91432,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91434,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91435,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91436,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91437,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91438,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91439,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91440,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91441,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91442,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91443,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91444,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91445,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91446,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91450,1.0,0,1,0,0,0,0,
nan,,,nan,PapPW91451,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91452,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91447,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91448,1.0,0,0,1,0,0,0,
nan,,,nan,PapPW91449,1.0,0,1,0,0,0,0,
Mundo Pet,cat,Accessories,MPets,MPgMP81892,2.0,2,4,0,0,0,0,
Mundo Pet,cat,Accessories,MPets,MPgMP8373Ros,1.0,0,1,0,0,0,0,
Mundo Pet,cat,Accessories,MPets,MPgMP8372Ve,1.0,0,1,0,0,0,0,
Mundo Pet,cat,Accessories,MPets,MPgMP8383Am,1.0,0,1,0,0,0,0,
nan,,,nan,FlFTA1826,3.0,0,3,0,0,0,0,
nan,,,nan,RupRW91122,2.0,0,2,0,0,0,0,
Mundo Pet,cat,Accessories,MPets,MPgMP8374Az,1.0,0,0,1,0,0,0,
Mundo Pet,cat,Accessories,MPets,MPgMP8382Az,1.0,0,1,0,0,0,0,
Mundo Pet,cat,Accessories,MPets,MPgMP91016Az,2.0,0,2,0,0,0,0,
Mundo Pet,cat,Accessories,MPets,MPgMP91016Ro,2.0,0,2,0,0,0,0,
Mundo Pet,cat,Accessories,MPets,MPgMP91017Pl,1.0,0,1,0,0,0,0,
Mundo Pet,cat,Accessories,MPets,MPgMP91017Ro,1.0,0,1,0,0,0,0,
Mundo Pet,cat,Accessories,MPets,MPgMP91015Az,2.0,0,2,0,0,0,0,
Mundo Pet,cat,Accessories,MPets,MPgMP91015Ro,2.0,0,2,0,0,0,0,
Mundo Pet,cat,Accessories,MPets,MPgMP91014Ro,1.0,0,1,0,0,0,0,
Mundo Pet,cat,Accessories,MPets,MPgMP91014Ne,1.0,0,1,0,0,0,0,
nan,,,nan,PegPL2724,0.0,0,0,0,0,0,0,
nan,,,nan,FlFTA1825,4.0,0,4,0,0,0,0,
Repagro,dog,Food,MasQPets,MapQP3756,2.0,59,54,7,5,1,6,Available
BELINA,dog,Food,NutriSource,NupNS1291,1.0,49,45,5,6,0,6,Reserve Now
BELINA,dog,Food,NutriSource,NupNS1270,-2.0,17,14,1,0,2,2,Reserve Now
BELINA,cat,Food,NutriSource,NugNS2305,0.0,54,49,5,5,1,6,Reserve Now
BELINA,dog,Food,NutriSource,NupNS5337,3.0,56,54,5,1,1,2,Available
BELINA,dog,Food,Balance,BapBA1352,2.0,59,58,3,8,5,13,Reserve Now
BELINA,dog,Food,NutriSource,NupNS3279,1.0,26,24,3,2,1,3,Reserve Now
BELINA,dog,Food,Balance,BapBA1369,1.0,16,16,1,2,0,2,Reserve Now
BELINA,dog,Food,Balance,BapBA1355,3.0,62,49,16,3,0,3,Available
BELINA,cat,Food,Balance,BagBA2371,0.0,23,21,2,0,0,0,
VETIM SA,dog,Food,Science Diet,ScpSD31535,0.0,13,9,4,1,0,1,Available
Herrera & Elizondo,cat,Food,1st CHOICE,1sgFC2789,1.0,25,26,0,1,0,1,Reserve Now
Repagro,cat,Higiene,Activcat,NOgAC2770,0.0,18,16,2,0,0,0,
nan,,,nan,PupCH11,0.0,0,0,0,0,0,0,
nan,,,nan,PupCH12,0.0,0,0,0,0,0,0,
nan,,,nan,PupCH15,0.0,1,1,0,0,0,0,
Nestle,dog,Food,Dog Chow,PupCH334,0.0,10,9,1,0,1,1,Reserve Now
Nestle,dog,Food,Alpo,PupAL216,0.0,7,6,1,0,0,0,
nan,,,nan,PupAL17,0.0,0,0,0,0,0,0,
nan,,,nan,PupAL336,0.0,0,0,0,0,0,0,
nan,,,nan,PugCH18,0.0,1,1,0,0,0,0,
Nestle,cat,Food,Cat Chow,PugCH219,-1.0,11,9,1,1,1,2,Reserve Now
Nestle,cat,Food,Cat Chow,PugCH19,0.0,3,2,1,0,0,0,
nan,,,nan,PugCH220,0.0,0,0,0,0,0,0,
Nestle,dog,Food,Dog Chow,PupCH16,0.0,3,1,2,0,1,1,Available
nan,,,nan,PupCH333,2.0,1,2,1,0,0,0,
Nestle,dog,Food,Dog Chow,PupCH331,0.0,18,16,2,1,0,1,Available
nan,,,nan,PupBE329,0.0,0,0,0,0,0,0,
nan,,,nan,PupBE330,0.0,2,2,0,0,0,0,
Nestle,dog,Food,Dog Chow,PupCH467,0.0,66,48,18,2,3,5,Available
Nestle,dog,Food,Dog Chow,PupCH468,0.0,22,16,6,1,0,1,Available
Nestle,dog,Food,Dog Chow,PupCH466,4.0,39,39,4,3,1,4,Reserve Now
Nestle,dog,Food,Dog Chow,PupCH684,0.0,6,6,0,0,0,0,
Nestle,dog,Food,Dog Chow,PupCH685,0.0,33,19,14,0,0,0,
Nestle,dog,Food,Dog Chow,PupCH686,28.0,82,117,-7,7,0,7,Reserve Now
Nestle,dog,Food,Dog Chow,PupCH687,1.0,33,34,0,1,0,1,Reserve Now
Nestle,dog,Food,Dog Chow,PupCH688,5.0,126,121,10,5,0,5,Available
Nestle,dog,Food,Dog Chow,PupCH689,-2.0,126,102,22,5,0,5,Available
Nestle,dog,Food,Dog Chow,PupCH690,0.0,101,80,21,6,0,6,Available
Nestle,dog,Food,Dog Chow,PupCH691,2.0,177,167,12,13,0,13,Reserve Now
Nestle,cat,Food,Fancy Feast,PugFF493,2.0,63,35,30,1,10,11,Available
Nestle,cat,Food,Fancy Feast,PugFF494,-2.0,183,134,47,23,0,23,Available
nan,,,nan,PugFF496,1.0,30,23,8,0,0,0,
Nestle,cat,Food,Fancy Feast,PugFF497,6.0,54,45,15,2,0,2,Available
nan,,,nan,PugFF498,-6.0,45,39,0,0,0,0,
nan,,,nan,PugFF4100,2.0,51,53,0,0,0,0,
nan,,,nan,ZipZP1465,0.0,0,0,0,0,0,0,
nan,,,nan,ZipZP1466,0.0,0,0,0,0,0,0,
nan,,,nan,ZipZP3472,2.0,0,2,0,0,0,0,
nan,,,nan,ZipZP3592,0.0,0,0,0,0,0,0,
Woof & Miau,dog,Accessories,Nomnomz,ZipZP3594,1.0,0,1,0,0,0,0,
nan,,,nan,FlFTA1828,2.0,0,0,2,0,0,0,
Yanyunis,dog,Food,Taste Of the Wild,TapTW3115,0.0,14,9,5,0,2,2,Available
Yanyunis,dog,Food,Taste Of the Wild,TapTW1117,0.0,1,1,0,0,0,0,
Yanyunis,dog,Food,Taste Of the Wild,TapTW3118,-1.0,37,33,3,2,0,2,Available
Yanyunis,dog,Food,Taste Of the Wild,TapTW2119,0.0,20,16,4,3,0,3,Available
nan,,,nan,TapTW1121,0.0,0,0,0,0,0,0,
Yanyunis,dog,Food,Taste Of the Wild,TapTW2123,-2.0,9,4,3,1,0,1,Available
Yanyunis,dog,Food,Taste Of the Wild,TapTW1124,1.0,18,14,5,4,2,6,Reserve Now
Yanyunis,dog,Food,Taste Of the Wild,TapTW3125,-1.0,18,14,3,1,1,2,Available
Yanyunis,dog,Food,Taste Of the Wild,TapTW2126,0.0,15,11,4,1,0,1,Available
Yanyunis,dog,Food,Taste Of the Wild,TapTW1127,1.0,19,15,5,4,0,4,Available
Yanyunis,dog,Food,Taste Of the Wild,TapTW1128,0.0,7,6,1,0,0,0,
Yanyunis,dog,Food,Taste Of the Wild,TapTW3129,0.0,13,11,2,0,0,0,
Yanyunis,dog,Food,Taste Of the Wild,TapTW1131,0.0,12,7,5,3,0,3,Available
Yanyunis,dog,Food,Taste Of the Wild,TapTW3132,-1.0,26,22,3,1,1,2,Available
Yanyunis,dog,Food,Taste Of the Wild,TapTW2133,0.0,8,5,3,1,0,1,Available
Yanyunis,dog,Food,Taste Of the Wild,TapTW1134,1.0,14,11,4,1,2,3,Available
Yanyunis,dog,Food,Taste Of the Wild,TapTW3135,1.0,8,6,3,1,1,2,Available
Yanyunis,dog,Food,Taste Of the Wild,TapTW2136,2.0,4,4,2,1,0,1,Available
Yanyunis,dog,Food,Taste Of the Wild,TapTW1137,0.0,11,9,2,1,0,1,Available
nan,,,nan,TapTW3138,0.0,0,0,0,0,0,0,
nan,,,nan,TapTW2139,0.0,0,0,0,0,0,0,
nan,,,nan,TapTW3141,0.0,0,0,0,0,0,0,
Yanyunis,dog,Food,Taste Of the Wild,TapTW2142,0.0,2,2,0,0,0,0,
nan,,,nan,TapTW1143,0.0,0,0,0,0,0,0,
Yanyunis,dog,Food,Taste Of the Wild,TapTW3144,0.0,5,2,3,0,0,0,
Yanyunis,dog,Food,Taste Of the Wild,TapTW3146,0.0,4,4,0,0,0,0,
nan,,,nan,TapTW3148,0.0,0,0,0,0,0,0,
Yanyunis,dog,Food,Taste Of the Wild,TapTW1149,0.0,5,2,3,0,0,0,
nan,,,nan,TapTW3150,0.0,0,0,0,0,0,0,
Yanyunis,cat,Food,Taste Of the Wild,TagTW3204,0.0,23,17,6,1,0,1,Available
